obs_1,cluster_0
obs_2,cluster_3
obs_3,cluster_12
obs_4,cluster_13
obs_5,cluster_6
obs_6,cluster_6
obs_7,cluster_12
obs_8,cluster_0
obs_9,cluster_12
obs_10,cluster_0
obs_11,cluster_7
obs_12,cluster_9
obs_13,cluster_9
obs_14,cluster_6
obs_15,cluster_9
obs_16,cluster_9
obs_17,cluster_9
obs_18,cluster_5
obs_19,cluster_6
obs_20,cluster_6
obs_21,cluster_9
obs_22,cluster_2
obs_23,cluster_0
obs_24,cluster_6
obs_25,cluster_9
obs_26,cluster_5
obs_27,cluster_5
obs_28,cluster_0
obs_29,cluster_0
obs_30,cluster_0
obs_31,cluster_13
obs_32,cluster_0
obs_33,cluster_0
obs_34,cluster_0
obs_35,cluster_0
obs_36,cluster_0
obs_37,cluster_6
obs_38,cluster_10
obs_39,cluster_6
obs_40,cluster_0
obs_41,cluster_12
obs_42,cluster_12
obs_43,cluster_6
obs_44,cluster_6
obs_45,cluster_6
obs_46,cluster_12
obs_47,cluster_12
obs_48,cluster_0
obs_49,cluster_6
obs_50,cluster_12
obs_51,cluster_5
obs_52,cluster_2
obs_53,cluster_8
obs_54,cluster_0
obs_55,cluster_9
obs_56,cluster_5
obs_57,cluster_5
obs_58,cluster_8
obs_59,cluster_0
obs_60,cluster_15
obs_61,cluster_1
obs_62,cluster_10
obs_63,cluster_10
obs_64,cluster_0
obs_65,cluster_15
obs_66,cluster_6
obs_67,cluster_10
obs_68,cluster_1
obs_69,cluster_10
obs_70,cluster_10
obs_71,cluster_15
obs_72,cluster_1
obs_73,cluster_6
obs_74,cluster_10
obs_75,cluster_1
obs_76,cluster_1
obs_77,cluster_10
obs_78,cluster_10
obs_79,cluster_6
obs_80,cluster_10
obs_81,cluster_1
obs_82,cluster_1
obs_83,cluster_1
obs_84,cluster_0
obs_85,cluster_9
obs_86,cluster_5
obs_87,cluster_5
obs_88,cluster_0
obs_89,cluster_6
obs_90,cluster_10
obs_91,cluster_0
obs_92,cluster_0
obs_93,cluster_5
obs_94,cluster_5
obs_95,cluster_0
obs_96,cluster_5
obs_97,cluster_13
obs_98,cluster_13
obs_99,cluster_5
obs_100,cluster_13
