obs_1,cluster_1
obs_2,cluster_17
obs_3,cluster_0
obs_4,cluster_13
obs_5,cluster_13
obs_6,cluster_0
obs_7,cluster_0
obs_8,cluster_0
obs_9,cluster_0
obs_10,cluster_0
obs_11,cluster_10
obs_12,cluster_13
obs_13,cluster_0
obs_14,cluster_6
obs_15,cluster_0
obs_16,cluster_13
obs_17,cluster_0
obs_18,cluster_13
obs_19,cluster_0
obs_20,cluster_1
obs_21,cluster_17
obs_22,cluster_0
obs_23,cluster_13
obs_24,cluster_13
obs_25,cluster_0
obs_26,cluster_0
obs_27,cluster_0
obs_28,cluster_0
obs_29,cluster_13
obs_30,cluster_0
obs_31,cluster_0
obs_32,cluster_0
obs_33,cluster_13
obs_34,cluster_13
obs_35,cluster_5
obs_36,cluster_5
obs_37,cluster_0
obs_38,cluster_13
obs_39,cluster_0
obs_40,cluster_0
obs_41,cluster_12
obs_42,cluster_0
obs_43,cluster_6
obs_44,cluster_0
obs_45,cluster_0
obs_46,cluster_0
obs_47,cluster_6
obs_48,cluster_12
obs_49,cluster_5
obs_50,cluster_5
obs_51,cluster_5
obs_52,cluster_12
obs_53,cluster_2
obs_54,cluster_6
obs_55,cluster_12
obs_56,cluster_0
obs_57,cluster_0
obs_58,cluster_9
obs_59,cluster_0
obs_60,cluster_5
obs_61,cluster_0
obs_62,cluster_9
obs_63,cluster_0
obs_64,cluster_0
obs_65,cluster_0
obs_66,cluster_12
obs_67,cluster_6
obs_68,cluster_3
obs_69,cluster_3
obs_70,cluster_12
obs_71,cluster_12
obs_72,cluster_3
obs_73,cluster_3
obs_74,cluster_3
obs_75,cluster_3
obs_76,cluster_3
obs_77,cluster_3
obs_78,cluster_5
obs_79,cluster_3
obs_80,cluster_3
obs_81,cluster_5
obs_82,cluster_3
obs_83,cluster_3
obs_84,cluster_5
obs_85,cluster_5
obs_86,cluster_5
obs_87,cluster_5
obs_88,cluster_5
obs_89,cluster_5
obs_90,cluster_5
obs_91,cluster_5
obs_92,cluster_5
obs_93,cluster_5
obs_94,cluster_15
obs_95,cluster_3
obs_96,cluster_5
obs_97,cluster_5
obs_98,cluster_5
obs_99,cluster_5
obs_100,cluster_5
