obs_1,cluster_5
obs_2,cluster_15
obs_3,cluster_7
obs_4,cluster_2
obs_5,cluster_3
obs_6,cluster_2
obs_7,cluster_9
obs_8,cluster_11
obs_9,cluster_2
obs_10,cluster_2
obs_11,cluster_2
obs_12,cluster_9
obs_13,cluster_2
obs_14,cluster_9
obs_15,cluster_11
obs_16,cluster_2
obs_17,cluster_2
obs_18,cluster_2
obs_19,cluster_7
obs_20,cluster_7
obs_21,cluster_2
obs_22,cluster_10
obs_23,cluster_13
obs_24,cluster_2
obs_25,cluster_13
obs_26,cluster_10
obs_27,cluster_13
obs_28,cluster_10
obs_29,cluster_13
obs_30,cluster_2
obs_31,cluster_7
obs_32,cluster_2
obs_33,cluster_3
obs_34,cluster_10
obs_35,cluster_11
obs_36,cluster_2
obs_37,cluster_0
obs_38,cluster_0
obs_39,cluster_2
obs_40,cluster_2
obs_41,cluster_5
obs_42,cluster_15
obs_43,cluster_15
obs_44,cluster_5
obs_45,cluster_2
obs_46,cluster_2
obs_47,cluster_2
obs_48,cluster_2
obs_49,cluster_15
obs_50,cluster_5
obs_51,cluster_2
obs_52,cluster_9
obs_53,cluster_9
obs_54,cluster_10
obs_55,cluster_13
obs_56,cluster_7
obs_57,cluster_7
obs_58,cluster_2
obs_59,cluster_13
obs_60,cluster_10
obs_61,cluster_2
obs_62,cluster_2
obs_63,cluster_13
obs_64,cluster_7
obs_65,cluster_2
obs_66,cluster_8
obs_67,cluster_8
obs_68,cluster_5
obs_69,cluster_5
obs_70,cluster_3
obs_71,cluster_10
obs_72,cluster_5
obs_73,cluster_5
obs_74,cluster_5
obs_75,cluster_10
obs_76,cluster_10
obs_77,cluster_5
obs_78,cluster_10
obs_79,cluster_5
obs_80,cluster_2
obs_81,cluster_15
obs_82,cluster_5
obs_83,cluster_2
obs_84,cluster_2
obs_85,cluster_2
obs_86,cluster_5
obs_87,cluster_5
obs_88,cluster_5
obs_89,cluster_5
obs_90,cluster_5
obs_91,cluster_5
obs_92,cluster_5
obs_93,cluster_17
obs_94,cluster_17
obs_95,cluster_17
obs_96,cluster_17
obs_97,cluster_17
obs_98,cluster_17
obs_99,cluster_17
obs_100,cluster_2
